Feature Identification Number,Census Tract,Area in Square Miles,MENI Equity Need Tier,Percentile for MENI,EFC Designation,Total Households,Total Population,Total Low-Income Households,Percent Low-Income Households,Percentile for Low-Income Households,Total Zero-Vehicle Households,Percent Zero-Vehicle Households,Percentile for Zero-Vehicle Households,Total BIPOC Population,Percent BIPOC Population,Percentile for BIPOC Population,Percentile for Low-Income and Zero Vehicle Households,Percentile for Low-Income Households and BIPOC Population,LA County Subregional Boundaries,LA County Supervisorial Districts,City Name,Community Name,City/Community Name,Census Designated Place,Jurisdiction Type,Shape__Area,Shape__Length
1,06037300100,1.81624,Very Low Need,10,Non-EFC,2079,6279,321,15.44,3.6,97,4.67,39.2,2740,43.64,18.1,17.5,6.6,Arroyo Verdugo,5, ,La Crescenta - Montrose,La Crescenta - Montrose,La Crescenta-Montrose,Unincorporated Area,6900557.71484375,10746.2862702745
2,06037620601,0.527279,Low Need,21.9,Non-EFC,2111,5159,777,36.81,37.2,14,0.66,5,2961,57.39,27.8,17.3,29.7,South Bay,2,Redondo Beach, ,Redondo Beach,Redondo Beach,Incorporated City,1985951.3125,7302.60730045061
3,06037291210,0.480556,High Need,70.7,EFC,1686,5429,1000,59.31,78.2,82,4.86,40.6,5035,92.74,69.2,62.6,77.2,South Bay,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1810777.25390625,5718.31804761527
4,06037573902,0.274086,Very Low Need,16,Non-EFC,874,1981,176,20.14,8,61,6.98,53.8,835,42.15,17,28,8.6,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,1030988.1796875,5065.45836447816
5,06037571502,0.531715,Moderate Need,58.1,Non-EFC,1780,4779,942,52.92,67.7,93,5.22,43.4,3685,77.11,43.6,57.6,56.3,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,2001387.2265625,5938.83214188983
6,06037570003,0.444804,Very Low Need,13.6,Non-EFC,1275,4011,301,23.61,12.4,40,3.14,26.8,2310,57.59,27.9,15.6,16.7,Gateway Cities,4,Lakewood, ,Lakewood,Lakewood,Incorporated City,1675125.01171875,5203.31417095173
7,06037603301,0.376523,Moderate Need,55.8,Non-EFC,1350,3531,646,47.85,59,50,3.7,31.7,3238,91.7,66.3,45.5,64.3,South Bay,2,Gardena, ,Gardena,Gardena,Incorporated City,1418621.29296875,5200.53212047556
8,06037603500,0.306656,Low Need,25.8,Non-EFC,857,3129,265,30.92,25.1,11,1.28,11,2811,89.84,62,14.2,41.6,South Bay,2,Gardena, ,Gardena,Gardena,Incorporated City,1155774.296875,4806.0247671851
9,06037554516,0.557967,Very Low Need,14.8,Non-EFC,1215,3872,217,17.86,5.7,0,0,0,3557,91.86,66.8,0.9,33.8,Gateway Cities,4,Cerritos, ,Cerritos,Cerritos,Incorporated City,2100838.07421875,7825.33535238129
10,06037554517,0.509948,Low Need,28.7,Non-EFC,1352,4353,392,28.99,21.2,44,3.25,27.9,3967,91.13,64.8,20.4,41.1,Gateway Cities,4,Cerritos, ,Cerritos,Cerritos,Incorporated City,1920353.07421875,5840.99685493161
11,06037554201,0.373873,Low Need,22.8,Non-EFC,1065,3890,255,23.94,13.3,39,3.66,31.2,3303,84.91,53.2,18.4,30.6,Gateway Cities,4,Bellflower, ,Bellflower,Bellflower,Incorporated City,1408627.828125,4847.65090946382
12,06037554802,0.594133,Low Need,35,Non-EFC,1710,6201,586,34.27,32.2,72,4.21,35.5,5298,85.44,54,31.3,41.3,Gateway Cities,4,Artesia, ,Artesia,Artesia,Incorporated City,2237743.77734375,6995.62002825493
13,06037543502,0.430599,Low Need,25.3,Non-EFC,1656,4790,475,28.68,20.4,36,2.17,18.2,4313,90.04,62.3,15.2,39.4,South Bay,2, ,West Carson,West Carson,West Carson,Unincorporated Area,1620767.69921875,5796.52169642766
14,06037600702,0.93623,Moderate Need,41.1,Non-EFC,1598,4703,513,32.1,27.6,68,4.26,35.6,4539,96.51,80.2,28.8,54.3,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,3532847.65625,8819.13816242811
15,06037532102,0.390159,Low Need,38.7,Non-EFC,896,3530,337,37.61,38.4,0,0,0,3460,98.02,87,15.1,64.4,Gateway Cities,1,Montebello, ,Montebello,Montebello,Incorporated City,1473884.078125,4882.99188100614
16,06037277200,0.406375,High Need,73.7,EFC,966,1943,608,62.94,83.8,123,12.73,77.2,1418,72.98,40.1,83,63.4,Westside Cities,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1533538.15625,5545.75248254197
17,06037128302,0.265974,High Need,68.8,EFC,1587,5096,885,55.77,72.4,154,9.7,67.6,4176,81.95,48.7,73.7,61.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1009149.16015625,4585.62825304999
18,06037276500,0.460927,Very Low Need,15.4,Non-EFC,714,5710,232,32.49,28.4,9,1.26,10.6,2646,46.34,19.8,15.4,20.6,Westside Cities,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1739961.0390625,5652.02025170159
19,06037553601,0.846207,High Need,74.2,EFC,1294,4542,744,57.5,75.2,95,7.34,56.4,4301,94.69,73.9,68.9,78.3,Gateway Cities,4,Paramount, ,Paramount,Paramount,Incorporated City,3189818.82421875,10122.0611530461
20,06037502602,0.490695,High Need,67.8,EFC,1254,4155,686,54.7,70.5,72,5.74,46.4,3825,92.06,67.4,61.5,71.5,Gateway Cities,4,Pico Rivera, ,Pico Rivera,Pico Rivera,Incorporated City,1852268.4296875,6030.36710236631
